id,front,answer,acceptableAnswers,fullWord,hint,category
W001,일석,이조,이조,일석이조,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W002,새옹,지마,지마,새옹지마,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W003,사필,귀정,귀정,사필귀정,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W004,전화,위복,위복,전화위복,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W005,고진,감래,감래,고진감래,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W006,유비,무환,무환,유비무환,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W007,동문,서답,서답,동문서답,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W008,자업,자득,자득,자업자득,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W009,우왕,좌왕,좌왕,우왕좌왕,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W010,일편,단심,단심,일편단심,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W011,오리,무중,무중,오리무중,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W012,용두,사미,사미,용두사미,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W013,대기,만성,만성,대기만성,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W014,금상,첨화,첨화,금상첨화,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W015,청출,어람,어람,청출어람,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W016,각골,난망,난망,각골난망,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W017,군계,일학,일학,군계일학,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W018,설상,가상,가상,설상가상,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W019,일사,천리,천리,일사천리,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W020,주객,전도,전도,주객전도,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W021,호시,탐탐,탐탐,호시탐탐,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W022,점입,가경,가경,점입가경,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W023,불철,주야,주야,불철주야,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W024,백발,백중,백중,백발백중,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W025,중구,난방,난방,중구난방,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W026,십시,일반,일반,십시일반,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W027,동고,동락,동락,동고동락,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W028,막상,막하,막하,막상막하,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W029,이심,전심,전심,이심전심,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W030,천차,만별,만별,천차만별,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W031,무용,지물,지물,무용지물,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W032,다다,익선,익선,다다익선,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W033,사면,초가,초가,사면초가,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W034,고군,분투,분투,고군분투,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W035,자승,자박,자박,자승자박,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W036,작심,삼일,삼일,작심삼일,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W037,온고,지신,지신,온고지신,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W038,견물,생심,생심,견물생심,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W039,타산,지석,지석,타산지석,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W040,풍전,등화,등화,풍전등화,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W041,순망,치한,치한,순망치한,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W042,적반,하장,하장,적반하장,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W043,문전,성시,성시,문전성시,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W044,침소,봉대,봉대,침소봉대,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W045,살신,성인,성인,살신성인,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W046,동상,이몽,이몽,동상이몽,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W047,오매,불망,불망,오매불망,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W048,근묵,자흑,자흑,근묵자흑,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W049,명실,상부,상부,명실상부,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W050,선견,지명,지명,선견지명,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W051,천고,마비,마비,천고마비,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W052,안하,무인,무인,안하무인,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W053,인과,응보,응보,인과응보,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W054,권선,징악,징악,권선징악,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W055,어부,지리,지리,어부지리,뜻을 생각하며 완성하는 네 글자 표현입니다.,사자성어
W056,김치,찌개,찌개|찌게,김치찌개,음식이나 간식과 관련된 네 글자 말입니다.,음식
W057,제육,볶음,볶음,제육볶음,음식이나 간식과 관련된 네 글자 말입니다.,음식
W058,감자,튀김,튀김,감자튀김,음식이나 간식과 관련된 네 글자 말입니다.,음식
W059,계란,말이,말이,계란말이,음식이나 간식과 관련된 네 글자 말입니다.,음식
W060,비빔,국수,국수,비빔국수,음식이나 간식과 관련된 네 글자 말입니다.,음식
W061,참치,마요,마요,참치마요,음식이나 간식과 관련된 네 글자 말입니다.,음식
W062,치즈,김밥,김밥,치즈김밥,음식이나 간식과 관련된 네 글자 말입니다.,음식
W063,초코,우유,우유,초코우유,음식이나 간식과 관련된 네 글자 말입니다.,음식
W064,딸기,라떼,라떼,딸기라떼,음식이나 간식과 관련된 네 글자 말입니다.,음식
W065,망고,주스,주스,망고주스,음식이나 간식과 관련된 네 글자 말입니다.,음식
W066,양념,치킨,치킨,양념치킨,음식이나 간식과 관련된 네 글자 말입니다.,음식
W067,후라,이드,이드,후라이드,음식이나 간식과 관련된 네 글자 말입니다.,음식
W068,김밥,천국,천국,김밥천국,음식이나 간식과 관련된 네 글자 말입니다.,음식
W069,호두,과자,과자,호두과자,음식이나 간식과 관련된 네 글자 말입니다.,음식
W070,돼지,국밥,국밥,돼지국밥,음식이나 간식과 관련된 네 글자 말입니다.,음식
W071,카레,우동,우동,카레우동,음식이나 간식과 관련된 네 글자 말입니다.,음식
W072,버터,구이,구이,버터구이,음식이나 간식과 관련된 네 글자 말입니다.,음식
W073,크림,스프,스프,크림스프,음식이나 간식과 관련된 네 글자 말입니다.,음식
W074,짜장,라면,라면,짜장라면,음식이나 간식과 관련된 네 글자 말입니다.,음식
W075,짬뽕,국물,국물,짬뽕국물,음식이나 간식과 관련된 네 글자 말입니다.,음식
W076,치킨,너겟,너겟,치킨너겟,음식이나 간식과 관련된 네 글자 말입니다.,음식
W077,닭가,슴살,슴살,닭가슴살,음식이나 간식과 관련된 네 글자 말입니다.,음식
W078,마라,탕집,탕집,마라탕집,음식이나 간식과 관련된 네 글자 말입니다.,음식
W079,사과,파이,파이,사과파이,음식이나 간식과 관련된 네 글자 말입니다.,음식
W080,누룽,지탕,지탕,누룽지탕,음식이나 간식과 관련된 네 글자 말입니다.,음식
W081,멜론,빙수,빙수,멜론빙수,음식이나 간식과 관련된 네 글자 말입니다.,음식
W082,새우,버거,버거,새우버거,음식이나 간식과 관련된 네 글자 말입니다.,음식
W083,군고,구마,구마,군고구마,음식이나 간식과 관련된 네 글자 말입니다.,음식
W084,초밥,세트,세트,초밥세트,음식이나 간식과 관련된 네 글자 말입니다.,음식
W085,샌드,위치,위치,샌드위치,음식이나 간식과 관련된 네 글자 말입니다.,음식
W086,요거,트볼,트볼,요거트볼,음식이나 간식과 관련된 네 글자 말입니다.,음식
W087,견과,류바,류바,견과류바,음식이나 간식과 관련된 네 글자 말입니다.,음식
W088,소금,빵집,빵집,소금빵집,음식이나 간식과 관련된 네 글자 말입니다.,음식
W089,바나,나킥,나킥,바나나킥,음식이나 간식과 관련된 네 글자 말입니다.,음식
W090,오렌,지청,지청,오렌지청,음식이나 간식과 관련된 네 글자 말입니다.,음식
W091,복숭,아청,아청,복숭아청,음식이나 간식과 관련된 네 글자 말입니다.,음식
W092,콜라,사탕,사탕,콜라사탕,음식이나 간식과 관련된 네 글자 말입니다.,음식
W093,소보,로빵,로빵,소보로빵,음식이나 간식과 관련된 네 글자 말입니다.,음식
W094,단팥,호빵,호빵,단팥호빵,음식이나 간식과 관련된 네 글자 말입니다.,음식
W095,어묵,꼬치,꼬치,어묵꼬치,음식이나 간식과 관련된 네 글자 말입니다.,음식
W096,꼬치,어묵,어묵,꼬치어묵,음식이나 간식과 관련된 네 글자 말입니다.,음식
W097,옥수,수콘,수콘,옥수수콘,음식이나 간식과 관련된 네 글자 말입니다.,음식
W098,라면,사리,사리,라면사리,음식이나 간식과 관련된 네 글자 말입니다.,음식
W099,냉면,육수,육수,냉면육수,음식이나 간식과 관련된 네 글자 말입니다.,음식
W100,수업,시간,시간,수업시간,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W101,급식,메뉴,메뉴,급식메뉴,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W102,학교,생활,생활,학교생활,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W103,교실,청소,청소,교실청소,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W104,발표,자료,자료,발표자료,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W105,모둠,활동,활동,모둠활동,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W106,학습,목표,목표,학습목표,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W107,숙제,검사,검사,숙제검사,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W108,과학,실험,실험,과학실험,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W109,영어,단어,단어,영어단어,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W110,체육,대회,대회,체육대회,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W111,교내,방송,방송,교내방송,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W112,수행,평가,평가,수행평가,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W113,학급,규칙,규칙,학급규칙,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W114,출석,번호,번호,출석번호,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W115,독서,기록,기록,독서기록,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W116,강당,무대,무대,강당무대,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W117,도서,대출,대출,도서대출,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W118,체험,학습,학습,체험학습,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W119,영상,수업,수업,영상수업,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W120,안전,교육,교육,안전교육,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W121,진로,탐색,탐색,진로탐색,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W122,친구,사이,사이,친구사이,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W123,현장,체험,체험,현장체험,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W124,자유,학기,학기,자유학기,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W125,책상,정돈,정돈,책상정돈,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W126,아침,독서,독서,아침독서,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W127,교장,선생,선생,교장선생,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W128,칠판,글씨,글씨,칠판글씨,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W129,복도,통행,통행,복도통행,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W130,활동,사진,사진,활동사진,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W131,과제,제출,제출,과제제출,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W132,상장,수여,수여,상장수여,학교생활이나 수업과 관련된 네 글자 말입니다.,학교
W133,대한,민국,민국,대한민국,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W134,서울,타워,타워,서울타워,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W135,부산,항구,항구,부산항구,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W136,제주,바다,바다,제주바다,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W137,한강,공원,공원,한강공원,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W138,동네,마트,마트,동네마트,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W139,버스,노선,노선,버스노선,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W140,지하,철역,철역,지하철역,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W141,공항,버스,버스,공항버스,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W142,기차,여행,여행,기차여행,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W143,고속,도로,도로,고속도로,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W144,시골,마을,마을,시골마을,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W145,도시,풍경,풍경,도시풍경,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W146,숲속,산책,산책,숲속산책,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W147,해변,모래,모래,해변모래,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W148,하늘,구름,구름,하늘구름,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W149,바닷,바람,바람,바닷바람,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W150,가을,단풍,단풍,가을단풍,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W151,겨울,눈꽃,눈꽃,겨울눈꽃,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W152,봄꽃,축제,축제,봄꽃축제,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W153,여름,방학,방학,여름방학,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W154,우산,가게,가게,우산가게,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W155,동물,병원,병원,동물병원,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W156,약국,간판,간판,약국간판,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W157,문화,센터,센터,문화센터,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W158,공중,전화,전화,공중전화,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W159,시장,골목,골목,시장골목,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W160,공원,벤치,벤치,공원벤치,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W161,박물,관장,관장,박물관장,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W162,미술,전시,전시,미술전시,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W163,영화,극장,극장,영화극장,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W164,은행,창구,창구,은행창구,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W165,병원,접수,접수,병원접수,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W166,약속,장소,장소,약속장소,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W167,생일,파티,파티,생일파티,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W168,저녁,노을,노을,저녁노을,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W169,무지,개빛,개빛,무지개빛,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W170,꽃잎,향기,향기,꽃잎향기,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W171,나무,그늘,그늘,나무그늘,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W172,바람,개비,개비,바람개비,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W173,텔레,비전,비전|비젼,텔레비전,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W174,스파,게티,게티,스파게티,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W175,스마,트폰,트폰,스마트폰,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W176,컴퓨,터실,터실,컴퓨터실,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W177,인터,넷창,넷창,인터넷창,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W178,키보,드판,드판,키보드판,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W179,블루,투스,투스,블루투스,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W180,이어,폰줄,폰줄,이어폰줄,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W181,전자,시계,시계,전자시계,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W182,디지,털펜,털펜,디지털펜,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W183,카메,라앱,라앱,카메라앱,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W184,프린,터기,터기,프린터기,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W185,인공,지능,지능,인공지능,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W186,온라,인방,인방,온라인방,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W187,검색,엔진,엔진,검색엔진,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W188,데이,터값,터값,데이터값,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W189,클라,우드,우드,클라우드,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W190,파일,이름,이름,파일이름,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W191,화면,공유,공유,화면공유,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W192,사진,앨범,앨범,사진앨범,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W193,음성,녹음,녹음,음성녹음,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
W194,소방,차량,차량,소방차량,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W195,경찰,제복,제복,경찰제복,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W196,장난,감차,감차,장난감차,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W197,별자,리표,리표,별자리표,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W198,강물,소리,소리,강물소리,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W199,음악,감상,감상,음악감상,일상생활이나 장소와 관련된 네 글자 말입니다.,생활
W200,게임,설정,설정,게임설정,"기기, 인터넷, 디지털 활동과 관련된 네 글자 말입니다.",기술
